source_row,equipment_id,functional_location,equipment_type,manufacturer,criticality,installation_date,material_id,plant
A0001, eq-0001 ,NORTH-UNIT-01, PUMP ,Fictional Meridian,B,2019-07-28,MAT-001,NORTH
A0002,EQ-0002,EAST-UNIT-02,Motor,Fictional Cedar,B,2018-07-07,MAT-002,EAST
A0003,EQ-0003,SOUTH-UNIT-03,Compressor,Fictional Atlas,B,2017-07-27,MAT-003,SOUTH
A0004,EQ-0004,NORTH-UNIT-04,Valve,,A,2013-09-26,MAT-004,NORTH
A0005,EQ-0005,EAST-UNIT-01,Pump,Fictional Cedar,URGENT,2017-09-13,MAT-005,EAST
A0006,EQ-0006,SOUTH-UNIT-02,Motor,Fictional Atlas,B,not-recorded,MAT-006,SOUTH
A0007,EQ-0007,NORTH-UNIT-03,Compressor,Fictional Meridian,B,2014-11-15,MAT-007,NORTH
A0008,EQ-0008,EAST-UNIT-04,Valve,Fictional Cedar,A,2020-05-26,MAT-008,EAST
A0009,EQ-0009,SOUTH-UNIT-01,Pump,Fictional Atlas,C,2013-09-12,MAT-009,SOUTH
A0010,EQ-0010,NORTH-UNIT-02,Motor,Fictional Meridian,C,2021-04-12,MAT-010,NORTH
A0011,EQ-0011,EAST-UNIT-03,Compressor,Fictional Cedar,B,2017-04-09,MAT-011,EAST
A0012, eq-0012 ,SOUTH-UNIT-04,Valve,Fictional Atlas,B,2021-08-07,MAT-012,SOUTH
A0013,EQ-0013,NORTH-UNIT-01,Pump,Fictional Meridian,B,2022-05-09,MAT-001,NORTH
A0014,EQ-0014,EAST-UNIT-02, MOTOR ,Fictional Cedar,B,2018-10-26,MAT-002,EAST
A0015,EQ-0015,SOUTH-UNIT-03,Compressor,Fictional Atlas,C,2019-11-01,MAT-003,SOUTH
A0016,EQ-0016,NORTH-UNIT-04,Valve,Fictional Meridian,C,2024-05-23,MAT-004,NORTH
A0017,EQ-0017,EAST-UNIT-01,Pump,Fictional Cedar,B,2014-04-18,MAT-005,EAST
A0018,EQ-0018,SOUTH-UNIT-02,Motor,Fictional Atlas,C,2016-04-16,MAT-006,SOUTH
A0019,EQ-0019,NORTH-UNIT-03,Compressor,Fictional Meridian,C,2016-11-24,MAT-007,NORTH
A0020,EQ-0020,EAST-UNIT-04,Valve,Fictional Cedar,B,2024-06-14,MAT-008,EAST
A0021,EQ-0021,SOUTH-UNIT-01,Pump,,C,2014-09-08,MAT-009,SOUTH
A0022,EQ-0022,NORTH-UNIT-02,Motor,Fictional Meridian,B,2018-06-18,MAT-010,NORTH
A0023, eq-0023 ,EAST-UNIT-03,Compressor,Fictional Cedar,B,2018-08-22,MAT-011,EAST
A0024,EQ-0024,SOUTH-UNIT-04,Valve,Fictional Atlas,B,2022-02-05,MAT-012,SOUTH
A0025,EQ-0025,NORTH-UNIT-01,Pump,Fictional Meridian,A,2018/07/31,MAT-001,NORTH
A0026,EQ-0026,EAST-UNIT-02,Motor,Fictional Cedar,C,2022-11-11,MAT-002,EAST
A0027,EQ-0027,SOUTH-UNIT-03, COMPRESSOR ,Fictional Atlas,B,2013-08-26,MAT-003,SOUTH
A0028,EQ-0028,NORTH-UNIT-04,Valve,Fictional Meridian,B,2019-05-12,MAT-004,NORTH
A0029,EQ-0029,EAST-UNIT-01,Pump,Fictional Cedar,B,2017-10-23,MAT-005,EAST
A0030,EQ-0030,SOUTH-UNIT-02,Motor,Fictional Atlas,C,2023-08-13,MAT-006,SOUTH
A0031,EQ-0031,NORTH-UNIT-03,Compressor,Fictional Meridian,A,2018-10-21,MAT-007,NORTH
A0032,EQ-0032,EAST-UNIT-04,Valve,Fictional Cedar,C,2022-07-06,MAT-008,EAST
A0033,EQ-0033,SOUTH-UNIT-01,Pump,Fictional Atlas,C,2022-09-02,MAT-009,SOUTH
A0034, eq-0034 ,NORTH-UNIT-02,Motor,Fictional Meridian,A,2013-12-09,MAT-010,NORTH
A0035,EQ-0035,EAST-UNIT-03,Compressor,Fictional Cedar,B,2014-09-02,MAT-011,EAST
A0036,EQ-0036,SOUTH-UNIT-04,Valve,Fictional Atlas,B,2015-09-04,MAT-012,SOUTH
A0037,EQ-0037,NORTH-UNIT-01,Pump,Fictional Meridian,C,2019-06-07,MAT-001,NORTH
A0038,EQ-0038,EAST-UNIT-02,Motor,,A,2023-05-22,MAT-002,EAST
A0039,EQ-0039,SOUTH-UNIT-03,Compressor,Fictional Atlas,B,2014-05-25,MAT-003,SOUTH
A0040,EQ-0040,NORTH-UNIT-04, VALVE ,Fictional Meridian,B,2017-01-17,MAT-004,NORTH
A0041,EQ-0041,EAST-UNIT-01,Pump,Fictional Cedar,B,2018-09-14,MAT-005,EAST
A0042,EQ-0042,SOUTH-UNIT-02,Motor,Fictional Atlas,C,2023-08-24,MAT-006,SOUTH
A0043,EQ-0043,NORTH-UNIT-03,Compressor,Fictional Meridian,B,2024-03-23,MAT-007,NORTH
A0044,EQ-0044,EAST-UNIT-04,Valve,Fictional Cedar,A,2020/11/04,MAT-008,EAST
A0045, eq-0045 ,SOUTH-UNIT-01,Pump,Fictional Atlas,C,2014-07-21,MAT-009,SOUTH
A0046,EQ-0046,NORTH-UNIT-02,Motor,Fictional Meridian,B,2022-01-29,MAT-010,NORTH
A0047,EQ-0047,EAST-UNIT-03,Compressor,Fictional Cedar,B,2015-04-14,MAT-011,EAST
A0048,EQ-0048,SOUTH-UNIT-04,Valve,Fictional Atlas,A,2016-02-29,MAT-012,SOUTH
A0049,EQ-0049,NORTH-UNIT-01,Pump,Fictional Meridian,C,2013-09-27,MAT-001,NORTH
A0050,EQ-0050,EAST-UNIT-02,Motor,Fictional Cedar,B,2013-08-10,MAT-002,EAST
A0051,EQ-0051,SOUTH-UNIT-03,Compressor,Fictional Atlas,B,2019-04-27,MAT-003,SOUTH
A0052,EQ-0052,NORTH-UNIT-04,Valve,Fictional Meridian,B,2015-06-19,MAT-004,NORTH
A0053,EQ-0053,EAST-UNIT-01, PUMP ,Fictional Cedar,B,2022-08-07,MAT-005,EAST
A0054,EQ-0054,SOUTH-UNIT-02,Motor,Fictional Atlas,B,2014-12-14,MAT-006,SOUTH
A0055,EQ-0055,NORTH-UNIT-03,Compressor,,B,2023-05-30,MAT-007,NORTH
A0056, eq-0056 ,EAST-UNIT-04,Valve,Fictional Cedar,B,2019-08-18,MAT-008,EAST
A0057,EQ-0057,SOUTH-UNIT-01,Pump,Fictional Atlas,B,2020-10-09,MAT-009,SOUTH
A0058,EQ-0058,NORTH-UNIT-02,Motor,Fictional Meridian,A,2018-04-11,MAT-010,NORTH
A0059,EQ-0059,EAST-UNIT-03,Compressor,Fictional Cedar,B,2016-10-26,MAT-011,EAST
A0060,EQ-0060,SOUTH-UNIT-04,Valve,Fictional Atlas,B,2015-02-13,MAT-012,SOUTH
A0061,EQ-0061,NORTH-UNIT-01,Pump,Fictional Meridian,C,2022-01-31,MAT-001,NORTH
A0062,EQ-0062,EAST-UNIT-02,Motor,Fictional Cedar,B,2024-06-03,MAT-002,EAST
A0063,EQ-0063,SOUTH-UNIT-03,Compressor,Fictional Atlas,A,2018/02/08,MAT-003,SOUTH
A0064,EQ-0064,NORTH-UNIT-04,Valve,Fictional Meridian,C,2016-11-17,MAT-004,NORTH
A0065,EQ-0065,EAST-UNIT-01,Pump,Fictional Cedar,B,2019-10-27,MAT-005,EAST
A0066,EQ-0066,SOUTH-UNIT-02, MOTOR ,Fictional Atlas,B,2022-05-25,MAT-006,SOUTH
A0067, eq-0067 ,NORTH-UNIT-03,Compressor,Fictional Meridian,B,2021-07-27,MAT-007,NORTH
A0068,EQ-0068,EAST-UNIT-04,Valve,Fictional Cedar,C,2020-03-26,MAT-008,EAST
A0069,EQ-0069,SOUTH-UNIT-01,Pump,Fictional Atlas,A,2014-12-09,MAT-009,SOUTH
A0070,EQ-0070,NORTH-UNIT-02,Motor,Fictional Meridian,B,2022-09-03,MAT-010,NORTH
A0071,EQ-0071,EAST-UNIT-03,Compressor,Fictional Cedar,B,2020-09-13,MAT-011,EAST
