equipment_id,functional_location,equipment_type,manufacturer,criticality,installation_date,material_id,plant,data_quality_status
EQ-0001,NORTH-UNIT-01,Pump,Fictional Meridian,B,2019-07-28,MAT-001,NORTH,accepted
EQ-0002,EAST-UNIT-02,Motor,Fictional Cedar,B,2018-07-07,MAT-002,EAST,accepted
EQ-0003,SOUTH-UNIT-03,Compressor,Fictional Atlas,B,2017-07-27,MAT-003,SOUTH,accepted
EQ-0004,NORTH-UNIT-04,Valve,,A,2013-09-26,MAT-004,NORTH,needs_enrichment
EQ-0007,NORTH-UNIT-03,Compressor,Fictional Meridian,B,2014-11-15,MAT-007,NORTH,accepted
EQ-0008,EAST-UNIT-04,Valve,Fictional Cedar,A,2020-05-26,MAT-008,EAST,accepted
EQ-0009,SOUTH-UNIT-01,Pump,Fictional Atlas,C,2013-09-12,MAT-009,SOUTH,accepted
EQ-0010,NORTH-UNIT-02,Motor,Fictional Meridian,C,2021-04-12,MAT-010,NORTH,accepted
EQ-0011,EAST-UNIT-03,Compressor,Fictional Cedar,B,2017-04-09,MAT-011,EAST,accepted
EQ-0012,SOUTH-UNIT-04,Valve,Fictional Atlas,B,2021-08-07,MAT-012,SOUTH,accepted
EQ-0013,NORTH-UNIT-01,Pump,Fictional Meridian,B,2022-05-09,MAT-001,NORTH,accepted
EQ-0014,EAST-UNIT-02,Motor,Fictional Cedar,B,2018-10-26,MAT-002,EAST,accepted
EQ-0015,SOUTH-UNIT-03,Compressor,Fictional Atlas,C,2019-11-01,MAT-003,SOUTH,accepted
EQ-0016,NORTH-UNIT-04,Valve,Fictional Meridian,C,2024-05-23,MAT-004,NORTH,accepted
EQ-0017,EAST-UNIT-01,Pump,Fictional Cedar,B,2014-04-18,MAT-005,EAST,accepted
EQ-0018,SOUTH-UNIT-02,Motor,Fictional Atlas,C,2016-04-16,MAT-006,SOUTH,accepted
EQ-0019,NORTH-UNIT-03,Compressor,Fictional Meridian,C,2016-11-24,MAT-007,NORTH,accepted
EQ-0020,EAST-UNIT-04,Valve,Fictional Cedar,B,2024-06-14,MAT-008,EAST,accepted
EQ-0021,SOUTH-UNIT-01,Pump,,C,2014-09-08,MAT-009,SOUTH,needs_enrichment
EQ-0022,NORTH-UNIT-02,Motor,Fictional Meridian,B,2018-06-18,MAT-010,NORTH,accepted
EQ-0023,EAST-UNIT-03,Compressor,Fictional Cedar,B,2018-08-22,MAT-011,EAST,accepted
EQ-0024,SOUTH-UNIT-04,Valve,Fictional Atlas,B,2022-02-05,MAT-012,SOUTH,accepted
EQ-0025,NORTH-UNIT-01,Pump,Fictional Meridian,A,2018-07-31,MAT-001,NORTH,accepted
EQ-0026,EAST-UNIT-02,Motor,Fictional Cedar,C,2022-11-11,MAT-002,EAST,accepted
EQ-0027,SOUTH-UNIT-03,Compressor,Fictional Atlas,B,2013-08-26,MAT-003,SOUTH,accepted
EQ-0028,NORTH-UNIT-04,Valve,Fictional Meridian,B,2019-05-12,MAT-004,NORTH,accepted
EQ-0029,EAST-UNIT-01,Pump,Fictional Cedar,B,2017-10-23,MAT-005,EAST,accepted
EQ-0030,SOUTH-UNIT-02,Motor,Fictional Atlas,C,2023-08-13,MAT-006,SOUTH,accepted
EQ-0033,SOUTH-UNIT-01,Pump,Fictional Atlas,C,2022-09-02,MAT-009,SOUTH,accepted
EQ-0034,NORTH-UNIT-02,Motor,Fictional Meridian,A,2013-12-09,MAT-010,NORTH,accepted
EQ-0035,EAST-UNIT-03,Compressor,Fictional Cedar,B,2014-09-02,MAT-011,EAST,accepted
EQ-0036,SOUTH-UNIT-04,Valve,Fictional Atlas,B,2015-09-04,MAT-012,SOUTH,accepted
EQ-0037,NORTH-UNIT-01,Pump,Fictional Meridian,C,2019-06-07,MAT-001,NORTH,accepted
EQ-0038,EAST-UNIT-02,Motor,,A,2023-05-22,MAT-002,EAST,needs_enrichment
EQ-0039,SOUTH-UNIT-03,Compressor,Fictional Atlas,B,2014-05-25,MAT-003,SOUTH,accepted
EQ-0040,NORTH-UNIT-04,Valve,Fictional Meridian,B,2017-01-17,MAT-004,NORTH,accepted
EQ-0041,EAST-UNIT-01,Pump,Fictional Cedar,B,2018-09-14,MAT-005,EAST,accepted
EQ-0042,SOUTH-UNIT-02,Motor,Fictional Atlas,C,2023-08-24,MAT-006,SOUTH,accepted
EQ-0043,NORTH-UNIT-03,Compressor,Fictional Meridian,B,2024-03-23,MAT-007,NORTH,accepted
EQ-0044,EAST-UNIT-04,Valve,Fictional Cedar,A,2020-11-04,MAT-008,EAST,accepted
EQ-0045,SOUTH-UNIT-01,Pump,Fictional Atlas,C,2014-07-21,MAT-009,SOUTH,accepted
EQ-0046,NORTH-UNIT-02,Motor,Fictional Meridian,B,2022-01-29,MAT-010,NORTH,accepted
EQ-0047,EAST-UNIT-03,Compressor,Fictional Cedar,B,2015-04-14,MAT-011,EAST,accepted
EQ-0048,SOUTH-UNIT-04,Valve,Fictional Atlas,A,2016-02-29,MAT-012,SOUTH,accepted
EQ-0049,NORTH-UNIT-01,Pump,Fictional Meridian,C,2013-09-27,MAT-001,NORTH,accepted
